Molecule,a0,a1,a2,a3,a4,H_f_0K,S(300K)
pfbcof,8.7874,0.14927,-0.00014601,6.6193e-08,-1.1336e-11,0.0,109.98
pfboh,8.2726,0.1764,-0.00017407,7.9713e-08,-1.3763e-11,0.0,113.59
pfbs,11.175,0.21519,-0.00021542,9.9673e-08,-1.7344e-11,0.0,129.89
tfa,1.8518,0.083796,-7.9417e-05,3.563e-08,-6.0813e-12,0.0,75.178
pfpra,5.7283,0.12156,-0.00011688,5.2758e-08,-9.0306e-12,0.0,96.243
pfba,7.4894,0.15979,-0.0001549,7.0168e-08,-1.2031e-11,0.0,110.04
pfpna,9.2241,0.19812,-0.00019305,8.7647e-08,-1.5045e-11,0.0,123.69
pfhxa,10.972,0.23642,-0.00023116,1.0511e-07,-1.8056e-11,0.0,137.72
pfhpa,12.704,0.27473,-0.00026927,1.2256e-07,-2.1063e-11,0.0,151.73
pfoa,14.427,0.3131,-0.00030747,1.4007e-07,-2.4083e-11,0.0,165.67
pfetoh,4.6897,0.10029,-9.858e-05,4.5231e-08,-7.8324e-12,0.0,84.567
pfets,7.862,0.1377,-0.0001379,6.4023e-08,-1.118e-11,0.0,101.57
pfhpoh,13.374,0.29174,-0.00028895,1.3238e-07,-2.2849e-11,0.0,155.32
pfhps,16.251,0.33039,-0.00033001,1.5216e-07,-2.6394e-11,0.0,172.06
pfhxcof,12.286,0.22581,-0.00022214,1.0105e-07,-1.7343e-11,0.0,137.55
pfhxoh,11.626,0.25346,-0.00025086,1.1494e-07,-1.9843e-11,0.0,141.24
pfhxs,14.784,0.29118,-0.00029077,1.341e-07,-2.3269e-11,0.0,158.46
pfocof,14.079,0.26393,-0.00026002,1.1838e-07,-2.0328e-11,0.0,151.88
pfooh,14.773,0.33121,-0.00032852,1.5062e-07,-2.6011e-11,0.0,168.24
pfos,18.356,0.36775,-0.0003671,1.6911e-07,-2.9308e-11,0.0,187.1
pfpnoh,9.9632,0.21492,-0.00021246,9.7329e-08,-1.6804e-11,0.0,127.54
pfpncof,10.495,0.18766,-0.00018422,8.3691e-08,-1.4353e-11,0.0,123.37
pfpns,12.939,0.25323,-0.0002531,1.1688e-07,-2.0306e-11,0.0,144.31
pfprcof,7.0146,0.1111,-0.00010808,4.883e-08,-8.3445e-12,0.0,95.561
pfproh,6.8211,0.13715,-0.00013479,6.1639e-08,-1.0636e-11,0.0,101.58
pfprs,9.5353,0.17634,-0.0001765,8.1762e-08,-1.4246e-11,0.0,116.92
pftoh,2.5841,0.063195,-6.1795e-05,2.8379e-08,-4.9226e-12,0.0,69.267
tfcof,5.1967,0.073193,-7.0524e-05,3.168e-08,-5.3945e-12,0.0,79.91
triflate_amide,5.7568,0.10706,-0.00010551,4.9102e-08,-8.6328e-12,0.0,87.728
triflic,6.0954,0.099749,-0.00010039,4.6934e-08,-8.2463e-12,0.0,87.011
2_heptene,12.666,0.2538,-0.00025026,1.1398e-07,-1.9576e-11,0.0,149.61
2_hexene,10.874,0.21558,-0.0002122,9.6548e-08,-1.6571e-11,0.0,135.25
2_octene,14.264,0.29254,-0.00028888,1.3171e-07,-2.2637e-11,0.0,162.83
2_pentene,9.1206,0.17742,-0.00017433,7.9238e-08,-1.3592e-11,0.0,119.98
3_heptene,12.506,0.25394,-0.00025027,1.1396e-07,-1.9573e-11,0.0,148.04
3_hexene,11.098,0.21463,-0.00021096,9.588e-08,-1.6444e-11,0.0,136.16
3_octene,14.413,0.29173,-0.00028775,1.3108e-07,-2.2517e-11,0.0,164.18
4_octene,14.243,0.29219,-0.00028826,1.3134e-07,-2.2565e-11,0.0,163.27
21_propene,2.3416,0.09432,-8.6552e-05,3.8156e-08,-6.4503e-12,0.0,80.045
22_butene,3.4077,0.12299,-0.00010911,4.6837e-08,-7.7562e-12,0.0,90.776
31_butene,4.1921,0.13202,-0.00012382,5.5152e-08,-9.3714e-12,0.0,95.365
32_pentene,5.0985,0.1614,-0.00014732,6.4332e-08,-1.0771e-11,0.0,105.83
41_pentene,5.9147,0.17035,-0.00016194,7.2606e-08,-1.238e-11,0.0,110.4
42_pentene,6.8623,0.19969,-0.00018543,8.1794e-08,-1.3782e-11,0.0,119.98
51_hexene,7.6842,0.20856,-0.00019992,8.9987e-08,-1.5373e-11,0.0,124.02
52_heptene,8.7437,0.23752,-0.00022295,9.8925e-08,-1.6728e-11,0.0,134.24
61_heptene,9.3318,0.24725,-0.00023855,1.0773e-07,-1.8439e-11,0.0,137.79
62_octene,10.416,0.27604,-0.00026132,1.1652e-07,-1.9764e-11,0.0,147.99
71_octene,11.221,0.28505,-0.00027604,1.2486e-07,-2.1385e-11,0.0,152.36
butene,8.2447,0.13653,-0.00013345,6.0494e-08,-1.0364e-11,0.0,116.51
c2f4,5.7237,0.058171,-5.6241e-05,2.5472e-08,-4.3786e-12,0.0,74.103
heptene,13.372,0.25169,-0.00024804,1.1298e-07,-1.9411e-11,0.0,147.34
hexene,11.802,0.21282,-0.00020922,9.5142e-08,-1.6328e-11,0.0,134.2
octene,15.173,0.28984,-0.00028597,1.3034e-07,-2.2403e-11,0.0,161.73
pentene,10.063,0.17448,-0.00017105,7.7657e-08,-1.3314e-11,0.0,119.44
propene,4.4189,0.099053,-9.6612e-05,4.3772e-08,-7.5002e-12,0.0,84.442
C2F5COF_OH,6.4299,0.13994,-0.00013906,6.4127e-08,-1.1137e-11,0.0,101.16
C3_OCO2H,7.0588,0.17342,-0.00016703,7.5163e-08,-1.2812e-11,0.0,114.53
C3F6O2_ring,4.2387,0.13347,-0.00013031,5.8702e-08,-9.9786e-12,0.0,95.386
C3F6OOH2nd,6.4555,0.14,-0.00013921,6.4226e-08,-1.1157e-11,0.0,101.19
C3F7O,6.2226,0.13474,-0.00013661,6.3442e-08,-1.1049e-11,0.0,101.13
cf3o_cf2o_prod,4.0982,0.10954,-0.0001097,5.0389e-08,-8.6946e-12,0.0,90.556
ESTER,9.7623,0.20242,-0.00019772,8.9387e-08,-1.5263e-11,0.0,131.11
ESTER_OH,9.5262,0.23254,-0.00023163,1.066e-07,-1.8458e-11,0.0,136.34
FRD_0HFATS_prod,13.807,0.24855,-0.00024734,1.1403e-07,-1.9799e-11,0.0,155.11
FRD_prod_COLoss,9.7623,0.20242,-0.00019772,8.9387e-08,-1.5263e-11,0.0,131.09
FRD_prod_minusHF,9.2867,0.23195,-0.00022741,1.0314e-07,-1.7657e-11,0.0,138.47
FRD_cof,11.577,0.2409,-0.00023634,1.0721e-07,-1.8354e-11,0.0,144.76
FRD_cof_OH,11.034,0.27026,-0.00026829,1.231e-07,-2.1267e-11,0.0,148.82
FRC_c5f11o,9.6557,0.20642,-0.00020377,9.2698e-08,-1.5888e-11,0.0,134.4
2_PROPYL,6.6364,0.11593,-0.00011501,5.2546e-08,-9.038e-12,0.0,99.061
2_BUTYL,8.7379,0.15299,-0.0001516,6.9204e-08,-1.1897e-11,0.0,113.96
2_PENTYL,10.186,0.19219,-0.00019076,8.7202e-08,-1.5007e-11,0.0,127.62
2_HEXYL,11.861,0.23065,-0.00022901,1.0471e-07,-1.8025e-11,0.0,141.88
2_HEPTYL,14.118,0.26726,-0.0002651,1.2113e-07,-2.0842e-11,0.0,157.13
2_OCTYL,15.714,0.30607,-0.00030385,1.3894e-07,-2.3918e-11,0.0,170.93
3_PENTYL,10.743,0.19028,-0.00018844,8.6003e-08,-1.4784e-11,0.0,127.62
3_HEXYL,12.373,0.22892,-0.00022694,1.0366e-07,-1.783e-11,0.0,141.28
3_HEPTYL,13.9,0.26792,-0.00026592,1.2157e-07,-2.0928e-11,0.0,156.01
3_OCTYL,15.681,0.30609,-0.00030385,1.3893e-07,-2.3918e-11,0.0,169.15
4_HEPTYL,14.027,0.26742,-0.00026525,1.212e-07,-2.0855e-11,0.0,156.05
4_OCTYL,15.789,0.30568,-0.00030331,1.3863e-07,-2.3859e-11,0.0,170.02
CF2_TFA_PROD,5.8829,0.1132,-0.00010115,4.2852e-08,-6.9639e-12,0.0,97.837
CF2CF,6.0601,0.042627,-3.9863e-05,1.7546e-08,-2.947e-12,0.0,71.369
CF3CF_carbene,5.3347,0.062414,-6.1674e-05,2.8064e-08,-4.8096e-12,0.0,80.585
HFP_1OH,6.841,0.12351,-0.00012169,5.5816e-08,-9.6569e-12,0.0,102.16
PROPENE_BetaFrad,5.4921,0.088377,-8.6664e-05,3.9363e-08,-6.7508e-12,0.0,88.753
PROPENE_calphar,6.7318,0.083795,-8.0867e-05,3.6293e-08,-6.1693e-12,0.0,86.67
PROPENE_talphar,6.426,0.085565,-8.3591e-05,3.7916e-08,-6.5022e-12,0.0,86.64
c3f5co,7.1708,0.096353,-9.3121e-05,4.1865e-08,-7.1286e-12,0.0,93.212
CF3,3.7708,0.036299,-3.4314e-05,1.5005e-08,-2.485e-12,0.0,65.447
CF2,5.3891,0.017142,-1.4224e-05,5.4157e-09,-7.7818e-13,0.0,58.936
