Molecule,a0,a1,a2,a3,a4,S(300K)
1_octane_alpha_prod_prod_hf_prod_oh_freq_2000_,13.438418008327798,0.2916427834788597,-0.0002888964329879791,1.323625246324572e-07,-2.284562731072002e-11,155.441
1_octane_c8_rad_2000_,15.505502969279464,0.3066175352922414,-0.00030447385781070846,1.3925646415686743e-07,-2.3979314575679135e-11,166.66
1_pentane_2000_,9.223326533582597,0.19813010398491293,-0.000193062510933885,8.765627872844559e-08,-1.5047272782467492e-11,123.69
1perHbutene_2000_,0.9592735517949275,0.07296401197046376,-3.027545174636386e-05,2.9396792794107356e-09,6.748766483581984e-13,71.022
21_propene_2000_,2.3417465383642364,0.09431977330504468,-8.655178975103705e-05,3.815623399338197e-08,-6.4502626159932075e-12,80.046
22_butene_2000_,3.4079938533786893,0.12298964875965412,-0.0001091134657063297,4.6836871390880764e-08,-7.756250442723668e-12,90.774
22_fts_2000_,5.807207737315389,0.18479623782058377,-0.00016313849147553858,6.983409953254606e-08,-1.1540136849903972e-11,116.653
22_ftsa_2000_,4.89814631769539,0.19244742104885396,-0.00016762868412138561,7.135801055275726e-08,-1.1768007108721335e-11,117.547
22ftoh_2000_,5.320831540719985,0.13601533453029915,-0.00010839034771216514,4.2523557657340586e-08,-6.5343677317490135e-12,100.024
22rh_2000_,3.9202546952398643,0.12556657743140534,-9.804680647947507e-05,3.793246915206852e-08,-5.781972435409394e-12,92.757
22tele_alkene_2000_,3.4100990980760595,0.12298051486607518,-0.00010910032340762049,4.682920894931552e-08,-7.754674693041007e-12,90.775
23_ftca_2000_,3.837427756354562,0.16677090087815158,-0.00013893461588660233,5.6651685593906116e-08,-9.000774903857918e-12,110.951
2Hbutane_2000_,6.575152344093512,0.16019705926869302,-0.0001520793804257149,6.750187368241644e-08,-1.1376272285375762e-11,110.686
2_butene_2000_,7.160581908142174,0.14015435988030858,-0.00013764379755629033,6.25600160844138e-08,-1.0733003273349386e-11,106.056
2_butyl_2000_,8.738249745770068,0.1529883776982676,-0.00015159715654628126,6.920376275865043e-08,-1.18969616709432e-11,113.958
2_heptene_2000_,12.666370945096467,0.2538043772204749,-0.0002502559078951056,1.1397981729701291e-07,-1.957616164314011e-11,149.607
2_hexene_2000_,10.874657976335328,0.2155766518436126,-0.00021220316263825608,9.654840712091338e-08,-1.657149276644072e-11,135.252
2_hexyl_2000_,11.861147153635121,0.23064619429778324,-0.00022900953910044212,1.0471198394170206e-07,-1.802468199266371e-11,141.885
2_octene_2000_,14.26430526940355,0.29253940622572716,-0.00028888337079589446,1.3170816620097918e-07,-2.2637501022545212e-11,162.827
2_octyl_2000_,15.714124147444572,0.30606691458940805,-0.00030385282112027715,1.38936489657659e-07,-2.3918310761508944e-11,170.927
2_pentene_2000_,9.120929147024933,0.177415881735726,-0.00017433262094861907,7.923776941729013e-08,-1.3592086101440511e-11,119.983
